Name,Slug,Created On,Updated On,Published On,Description,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5,Special Labels,Link,Logo
1+1 = Podcast: How to Start a Podcast ,1-1-podcast-how-to-start-a-podcast,Thu Jun 30 2022 12:15:43 GMT+0000 (Coordinated Universal Time),Thu Jun 30 2022 14:19:35 GMT+0000 (Coordinated Universal Time),Thu Jun 30 2022 14:21:58 GMT+0000 (Coordinated Universal Time),"Everything you need to know to start recording, publishing and growing your very own podcast.",courses,,,,,,https://www.udemy.com/course/one-plus-one-equals-podcast-a-simple-formula-for-podcasting-success/,https://uploads-ssl.webflow.com/62976cf559741c0c9a8c5159/62bd93e9d9a62e0e056b6b56_61d5bcb566db32266f7b3de7_1%2B1%20%3D%20Podcast%20A%20simple%20formula%20for%20Podcasting%20Success.png
1.5X Speed,1-5x-speed,Thu Jul 14 2022 11:50:52 GMT+0000 (Coordinated Universal Time),Thu Jul 14 2022 11:50:52 GMT+0000 (Coordinated Universal Time),Thu Jul 14 2022 12:43:55 GMT+0000 (Coordinated Universal Time),"A weekly newsletter of podcast recommendations and listening notes from Vulture’s podcast critic, Nick Quah.",podcasting-newsletters,,,,,,https://www.vulture.com/promo/sign-up-for-15-speed-podcast-newsletter.html,https://uploads-ssl.webflow.com/62976cf559741c0c9a8c5159/62d00310c58a3a670500bd97_61a0f688f2b1f20a7a3a9016_1.5x%20Speed.png
18Sixty,18sixty,Fri Jul 15 2022 12:42:58 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 12:42:58 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 13:33:27 GMT+0000 (Coordinated Universal Time),18sixty helps brands talk to the people they want to talk to by making podcasts that people want to listen to.,production-companies,,,,,,https://18sixty.uk/,https://uploads-ssl.webflow.com/62976cf559741c0c9a8c5159/62d160c35df0d87bef063e91_61a0f6944f56297044b34b72_18Sixty.png
3Scribe,3scribe,Tue Oct 04 2022 04:50:06 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 04:52:43 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 04:52:51 GMT+0000 (Coordinated Universal Time),3Scribe provides automated transcription with human accuracy for video and audio files at affordable pricing for everyone. ,transcription,,,,,,https://3scri.be/,https://uploads-ssl.webflow.com/62976cf559741c0c9a8c5159/633bbb7a8a82c94a3630ab28_3scribe%20logo.png
5by5,5by5,Fri Jul 15 2022 12:43:25 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 12:43:25 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 13:33:27 GMT+0000 (Coordinated Universal Time),"5by5 is a podcast production company, home to shows like The Talk Show, Back to Work, The Big Web Show, The Pipeline, and more, with hosts including Dan Benjamin, John Gruber, Merlin Mann, and Jeffrey Zeldman.",production-companies,,,,,,https://5by5.tv/,https://uploads-ssl.webflow.com/62976cf559741c0c9a8c5159/62d160e886b5efb5be0321c0_61d8339637f3425146beefd4_5by5.png
909 Music,909-music,Wed Jul 20 2022 14:48:50 GMT+0000 (Coordinated Universal Time),Wed Jul 20 2022 14:48:50 GMT+0000 (Coordinated Universal Time),Wed Jul 20 2022 14:58:52 GMT+0000 (Coordinated Universal Time),"What if you could control that mood and excitement in people? Now you can! 909 Music made tracks for you in ALL possible genres -> from entertainment to politics, from business, health & wellness to romance, fiction & storytelling…. you will find the perfect tracks for any type of podcast that you have!",royalty-free-music,,,,,,https://909-music.com/,https://uploads-ssl.webflow.com/62976cf559741c0c9a8c5159/62d815c90cc56be5c0f14cea_61d72a4749f3cc54bda4d172_909%20Music.png
A Million Ads,a-million-ads,Mon Jun 27 2022 12:53:41 GMT+0000 (Coordinated Universal Time),Thu Jun 30 2022 10:47:37 GMT+0000 (Coordinated Universal Time),Thu Jun 30 2022 10:48:34 GMT+0000 (Coordinated Universal Time),A Million Ads uses data to create personalized advertising with more context and more relevance to better connect with people.,ad-sales,,,,,Hot,https://www.amillionads.com/,https://uploads-ssl.webflow.com/62976cf559741c0c9a8c5159/62b9b9a7c59177198ec56437_a_million_ads_logo-removebg-preview.png
Ableton,ableton,Fri Jul 15 2022 11:32:04 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 11:32:04 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 13:33:27 GMT+0000 (Coordinated Universal Time),"We make Live, Push and Link - unique software and hardware for music creation and performance. With these products, our community of users creates amazing things. Ableton was founded in 1999 and released the first version of Live in 2001. Our products are used by a community of dedicated musicians, sound designers, and artists from across the world.",audio-editing-software,,,,,,https://www.ableton.com/en/live/,https://uploads-ssl.webflow.com/62976cf559741c0c9a8c5159/62d1500be5d9387ad198481e_61fc06e2fa1917aad74e9a66_Ableton.png
Academy of Podcasters,academy-of-podcasters,Wed Jul 27 2022 11:17:41 GMT+0000 (Coordinated Universal Time),Wed Jul 27 2022 11:17:41 GMT+0000 (Coordinated Universal Time),Wed Jul 27 2022 11:56:28 GMT+0000 (Coordinated Universal Time),"The Academy is made up of podcasters, industry professionals, and enthusiasts. Nominations are public but must follow certain criteria, and a committee of previous members selects new Hall of Famers. Winners are announced during an awards ceremony at Podcast Movement.",podcast-awards,,,,,,https://academyofpodcasters.pairsite.com/hall-of-fame/,https://uploads-ssl.webflow.com/62976cf559741c0c9a8c5159/62e11ecf589d9a0d2fbb4ab5_61a0f6a675358d6eb3c1cf58_Academy%20of%20Podcasters.png
Acast,acast,Mon Jun 27 2022 13:08:44 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 12:00:00 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 13:33:27 GMT+0000 (Coordinated Universal Time),Acast lets you create and publish your show on every podcast app. They also connect podcasters with advertisers to help them monetize.,ad-sales,spot-ad-buying,podcast-hosting-companies,,,Top Rated,https://www.acast.com/,https://uploads-ssl.webflow.com/62976cf559741c0c9a8c5159/62b9abd8de90106fb30a2fe5_acast%20logo.png
